planet,period_days,N_peri,N_peaks,matched,coverage,mean,median,std,min,max,phase_frac,strength
mercury,87.969,518,520,518,1.0,35.08687258687259,35.0,0.28192051224388776,35.0,36.0,0.39885496694145206,0.9968003586595593
venus,224.701,203,407,203,1.0,-48.17733990147783,-48.0,0.38290036670879907,-49.0,-48.0,-0.21440643299975448,0.9982974071658648
earth,365.256,125,250,125,1.0,15.144,6.0,21.14073578845872,1.0,90.0,0.041461331230698506,0.9437639195545262
mars,686.98,67,133,67,1.0,-91.4776119402985,-91.0,0.9432087232489131,-98.0,-91.0,-0.13315906131226307,0.9986279636716265
jupiter,4332.589,11,21,11,1.0,932.9090909090909,933.0,1.2210278829367867,931.0,935.0,0.21532369927290373,0.9997182156346764
saturn,10759.22,5,9,5,1.0,1952.4,2022.0,157.9186499435706,1670.0,2028.0,0.18146296850515187,0.9854296712672587
uranus,30685.4,9,12,9,1.0,-2546.1111111111113,-2605.0,177.1633740678674,-2618.0,-2074.0,-0.08297467561482369,0.9942430951847246
neptune,60189.0,5,9,5,1.0,7210.8,6836.0,842.0114013479865,6825.0,8717.0,0.11980262174151424,0.9861079411704574
pluto,90560.0,3,6,3,1.0,18854.666666666668,18863.0,16.19670748434179,18836.0,18865.0,0.20820082449941113,0.9998211654242987
