X,Y,Z,VX,VY,VZ
-0.1968875343395437,0.9633523543749501,0.0002139422806843124,-0.0171450561131959,-0.003508711893010646,-1.815191493666709e-06
-0.2310471222762289,0.9557331851425269,0.0002103024021531222,-0.01701068950793685,-0.004109585126661731,-1.79833844084508e-06
-0.2649151175566886,0.9469180914247439,0.0002068376584716993,-0.01685358322118762,-0.004704353877496262,-1.650189753623655e-06
-0.2984469422171067,0.9369208159133101,0.0002037362940105144,-0.01667471404805995,-0.005291575331287711,-1.4502661055667e-06
-0.3316002586516893,0.9257573923806802,0.0002010122388330965,-0.01647526498307963,-0.005870409595153236,-1.285901513852046e-06
-0.3643349589724561,0.9134450159571048,0.0001985270030931068,-0.01625624046549759,-0.006440493222501532,-1.218904343210708e-06
-0.3966126430209143,0.9000013474628726,0.0001960522054296262,-0.01601834018549144,-0.007001686091337374,-1.277560804399921e-06
-0.4283960185085352,0.8854442614692831,0.0001933329694983215,-0.01576198056380201,-0.007553891745594813,-1.461169327640425e-06
-0.4596483911307565,0.8697918782387029,0.0001901389299706289,-0.01548735496705012,-0.008096946025974635,-1.747233066930296e-06
-0.4903332968774486,0.8530627743406666,0.000186299453593378,-0.0151945154897649,-0.00863054968935839,-2.100026383212087e-06
-0.5204143093747609,0.83527627568411,0.0001817214178734288,-0.01488346067638698,-0.00915425517958852,-2.478942125855319e-06
-0.5498549945212925,0.8164527265894828,0.0001763935489635084,-0.01455418821533296,-0.00966749852509375,-2.843040473845223e-06
-0.5786189124646433,0.796613689318528,0.0001703869644266045,-0.01420668954096025,-0.01016962637664276,-3.150446557042504e-06
-0.6066695704979534,0.77578214805209,0.0001638595059157839,-0.01384091667333963,-0.01065985500666817,-3.356245077718132e-06
-0.6339703598620127,0.7539828924070433,0.0001570583936901382,-0.01345682230039601,-0.01113713495539541,-3.418261154968924e-06
-0.6604847660369474,0.7312431872597415,0.0001502939768715671,-0.0130546101455817,-0.01160003886557644,-3.321091760640592e-06
-0.6861772640188596,0.7075933901231446,0.0001438533913861172,-0.0126351183810347,-0.01204697835114215,-3.106815232763802e-06
-0.7110147158678239,0.6830667125215507,0.0001378828547304592,-0.01219984483884132,-0.01247678813207192,-2.868179528056892e-06
-0.7349672153304464,0.6576979412960875,0.0001323352242302187,-0.01175041506884825,-0.01288905947333165,-2.696144296228674e-06
-0.758007793336523,0.6315221048282514,0.0001270197244866399,-0.0112880966369282,-0.01328388834063941,-2.640560375719251e-06
-0.7801115847882526,0.604573871627654,0.0001216882923716939,-0.01081374382322425,-0.01366148898675907,-2.711229937106965e-06
-0.8012551380421045,0.5768875316156034,0.0001161001155184417,-0.01032794001753125,-0.01402201213757151,-2.893493620476845e-06
-0.8214159951467089,0.5484971722023526,0.0001100587306896064,-0.009831108223482096,-0.01436550799865551,-3.158862383706661e-06
-0.8405724333862246,0.5194368875789207,0.0001034337152617206,-0.009323568110302058,-0.01469191794138536,-3.470524845596237e-06
-0.8587033023145845,0.4897410059013224,9.617298127559795e-05,-0.008805579465693129,-0.01500106582881824,-3.787659765020988e-06
-0.8757879443074649,0.4594443237872811,8.830692215647572e-05,-0.008277380317143736,-0.01529266098586024,-4.069074095777215e-06
-0.891806171490544,0.42858232645462,7.994716858222253e-05,-0.00773920261465332,-0.01556630518697961,-4.274808434023085e-06
-0.9067382512959155,0.3971914213310296,7.128363702856884e-05,-0.007191270317619364,-0.01582146442807771,-4.36682486229554e-06
-0.920564920336436,0.3653092928984331,6.257627229053656e-05,-0.006633846888619766,-0.01605737609269852,-4.315116189675564e-06
-0.933267640557581,0.3329754580949365,5.412161651928567e-05,-0.00606744699931093,-0.01627297019569007,-4.117685416932221e-06
-0.9448294472629887,0.300231755942342,4.616916412741934e-05,-0.005493179956256322,-0.01646706461266887,-3.826630609806953e-06
-0.9552362766647002,0.2671220363567977,3.881142230052932e-05,-0.004912789690115657,-0.01663893513585204,-3.540701752891258e-06
-0.9644777487416372,0.2336907755367136,3.194181371158075e-05,-0.004328094477034299,-0.01678868343658264,-3.349598745004574e-06
-0.972546685960481,0.1999816340516272,2.53235454482055e-05,-0.003740428492530994,-0.01691693416345451,-3.291178338172035e-06
-0.9794380387849381,0.1660369258454643,1.869279984577431e-05,-0.00315061806293195,-0.01702434830731965,-3.358585522707099e-06
-0.9851480996945531,0.1318977940719402,1.182347916362816e-05,-0.002559216489547742,-0.01711142783128333,-3.52438472512139e-06
-0.9896741371974681,0.09760452911494688,4.552605399464704e-06,-0.001966661364717005,-0.0171785323043956,-3.754049799026166e-06
-0.9930142222018171,0.06319680693868163,-3.209869743117303e-06,-0.001373319632234391,-0.01722592046462315,-4.009338223093105e-06
-0.995167094935203,0.02871388197435939,-1.147449731250521e-05,-0.0007794951801114104,-0.01725375251448051,-4.249234566647315e-06
-0.9961320546853423,-0.005805195539975216,-2.016890341686772e-05,-0.0001854480684357122,-0.0172620685068011,-4.432387910581861e-06
-0.9959089053744452,-0.0403213180080428,-2.914075902461447e-05,0.0004085708399574688,-0.01725076813650262,-4.520853011780587e-06
-0.9944979761963398,-0.07479502009959274,-3.816871112020206e-05,0.001002279408659468,-0.01721958905669523,-4.484379617657336e-06
-0.9919002461377662,-0.1091861177660277,-4.698424348098094e-05,0.001595291732936042,-0.01716806743843209,-4.30783899230222e-06
-0.9881177019951858,-0.1434532796450073,-5.531568374408949e-05,0.002186946766130659,-0.01709552836537831,-4.006400119385815e-06
-0.9831541378945802,-0.1775537476348939,-6.296705111146362e-05,0.002776063372991044,-0.01700127971517626,-3.642200693123572e-06
